demographic_dimension,year_month,demographic_value,activeUsers,newUsers,sessions,engagedSessions,eventCount,userEngagementDuration,date_range_start,date_range_end
city,202601,(not set),40,39,40,9,166,625,2026-01-01,yesterday
city,202601,Amesbury,1,1,1,1,4,6,2026-01-01,yesterday
city,202601,Amsterdam,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Arlington,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Ashburn,14,14,14,10,74,136,2026-01-01,yesterday
city,202601,Aspen,1,1,1,0,5,4,2026-01-01,yesterday
city,202601,Auckland,145,130,224,148,1389,16438,2026-01-01,yesterday
city,202601,Beijing,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Bossier City,1,1,1,1,4,32,2026-01-01,yesterday
city,202601,Brazzaville,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Brisbane,2,2,2,2,16,206,2026-01-01,yesterday
city,202601,Calgary,1,0,1,0,2,0,2026-01-01,yesterday
city,202601,Canberra,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Christchurch,21,17,22,18,111,1391,2026-01-01,yesterday
city,202601,Chula Vista,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Delhi,1,1,1,0,5,1,2026-01-01,yesterday
city,202601,Des Moines,2,2,2,0,8,9,2026-01-01,yesterday
city,202601,Dhaka,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Dlingo,1,1,1,1,5,31,2026-01-01,yesterday
city,202601,Dublin,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Dunedin,1,1,1,1,18,146,2026-01-01,yesterday
city,202601,Edmonton,10,10,10,7,55,3813,2026-01-01,yesterday
city,202601,Everett,1,1,1,0,4,6,2026-01-01,yesterday
city,202601,Forest City,2,2,2,0,6,0,2026-01-01,yesterday
city,202601,Gilbert,1,1,1,0,4,1,2026-01-01,yesterday
city,202601,Grafton,1,1,1,1,7,10,2026-01-01,yesterday
city,202601,Greenacres,1,1,1,1,4,10,2026-01-01,yesterday
city,202601,Hamilton,2,2,4,2,35,129,2026-01-01,yesterday
city,202601,Hangzhou,2,2,2,0,6,0,2026-01-01,yesterday
city,202601,Hanoi,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Houston,1,1,1,0,4,2,2026-01-01,yesterday
city,202601,Irvine,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Johnstone,1,1,1,1,5,18,2026-01-01,yesterday
city,202601,Kabul,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Kumeu,1,0,1,0,2,0,2026-01-01,yesterday
city,202601,Lanzhou,237,237,236,1,716,4,2026-01-01,yesterday
city,202601,Loceret,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,London,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Lower Hutt,1,1,1,1,6,23,2026-01-01,yesterday
city,202601,Lulea,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Masterton,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Melbourne,1,1,1,1,5,13,2026-01-01,yesterday
city,202601,Moruya,1,0,1,0,2,0,2026-01-01,yesterday
city,202601,Moses Lake,3,3,3,2,11,49,2026-01-01,yesterday
city,202601,Napier,1,1,1,1,6,203,2026-01-01,yesterday
city,202601,Nelson,1,1,2,1,14,43,2026-01-01,yesterday
city,202601,North Bergen,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Okinawa,1,1,2,1,6,11,2026-01-01,yesterday
city,202601,Palmerston North,1,1,1,1,6,83,2026-01-01,yesterday
city,202601,Paraparaumu,1,1,2,1,9,54,2026-01-01,yesterday
city,202601,Paris,1,0,1,1,2,3,2026-01-01,yesterday
city,202601,Peace River,1,1,1,1,4,4,2026-01-01,yesterday
city,202601,Philadelphia,1,1,1,0,4,1,2026-01-01,yesterday
city,202601,Phuc Yen,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Prebbleton,3,3,3,2,17,199,2026-01-01,yesterday
city,202601,Qingdao,2,2,2,0,7,0,2026-01-01,yesterday
city,202601,Quebec City,1,0,1,0,2,0,2026-01-01,yesterday
city,202601,Richmond,1,0,1,1,14,186,2026-01-01,yesterday
city,202601,Roldanillo,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,San Jose,1,1,1,0,4,3,2026-01-01,yesterday
city,202601,San Pedro Sula,1,1,1,1,4,65,2026-01-01,yesterday
city,202601,Shanghai,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Singapore,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Sydney,1,1,1,1,8,148,2026-01-01,yesterday
city,202601,Taizhou,1,1,1,0,3,0,2026-01-01,yesterday
city,202601,Tauranga,5,4,6,5,23,157,2026-01-01,yesterday
city,202601,Toronto,1,1,1,1,4,25,2026-01-01,yesterday
city,202601,Tres Arroyos,1,1,1,0,3,0,2026-01-01,yesterday
