demographic_dimension,year_month,demographic_value,activeUsers,newUsers,sessions,engagedSessions,eventCount,userEngagementDuration,date_range_start,date_range_end
region,202601,(not set),27,26,27,4,101,418,2026-01-01,yesterday
region,202601,Alberta,12,12,13,8,64,3817,2026-01-01,yesterday
region,202601,Arizona,1,1,1,0,4,1,2026-01-01,yesterday
region,202601,Auckland,146,130,227,148,1395,16438,2026-01-01,yesterday
region,202601,Australian Capital Territory,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Bay of Plenty Region,5,4,6,5,23,157,2026-01-01,yesterday
region,202601,Beijing,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Buenos Aires Province,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,California,5,5,5,0,17,4,2026-01-01,yesterday
region,202601,Canterbury Region,24,20,25,20,128,1590,2026-01-01,yesterday
region,202601,Colorado,8,8,8,0,28,13,2026-01-01,yesterday
region,202601,County Dublin,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Delhi Division,1,1,1,0,5,1,2026-01-01,yesterday
region,202601,Dhaka Division,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,East Java,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,England,3,3,3,2,11,78,2026-01-01,yesterday
region,202601,Florida,4,4,4,3,15,29,2026-01-01,yesterday
region,202601,Gansu,237,237,236,1,716,4,2026-01-01,yesterday
region,202601,Guangdong Province,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Hanoi,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Hawke's Bay Region,1,1,1,1,6,203,2026-01-01,yesterday
region,202601,Ile-de-France,1,0,1,1,2,3,2026-01-01,yesterday
region,202601,Iowa,2,2,2,0,8,9,2026-01-01,yesterday
region,202601,Kabul,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Louisiana,1,1,1,1,4,32,2026-01-01,yesterday
region,202601,Manawatu-Whanganui Region,2,1,2,2,15,211,2026-01-01,yesterday
region,202601,Massachusetts,1,1,1,0,4,6,2026-01-01,yesterday
region,202601,Nelson Region,1,1,2,1,14,43,2026-01-01,yesterday
region,202601,New Jersey,2,2,2,0,6,0,2026-01-01,yesterday
region,202601,New South Wales,2,2,3,2,17,158,2026-01-01,yesterday
region,202601,Norrbotten County,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,North Carolina,2,2,2,0,6,0,2026-01-01,yesterday
region,202601,North Holland,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Northland Region,1,1,1,1,10,90,2026-01-01,yesterday
region,202601,Okinawa,1,1,2,1,6,11,2026-01-01,yesterday
region,202601,Ontario,1,1,1,1,4,25,2026-01-01,yesterday
region,202601,Otago Region,1,1,1,1,18,146,2026-01-01,yesterday
region,202601,Pennsylvania,1,1,1,0,4,1,2026-01-01,yesterday
region,202601,Quebec,1,0,1,0,2,0,2026-01-01,yesterday
region,202601,Queensland,2,2,2,2,16,206,2026-01-01,yesterday
region,202601,Scotland,1,1,1,1,5,18,2026-01-01,yesterday
region,202601,Shandong,2,2,2,0,7,0,2026-01-01,yesterday
region,202601,Shanghai,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,South Carolina,1,1,1,1,4,9,2026-01-01,yesterday
region,202601,Special Region of Yogyakarta,1,1,1,1,5,31,2026-01-01,yesterday
region,202601,Texas,2,2,2,0,7,2,2026-01-01,yesterday
region,202601,Valle del Cauca,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Victoria,1,1,1,1,5,13,2026-01-01,yesterday
region,202601,Vinh Phuc,1,1,1,0,3,0,2026-01-01,yesterday
region,202601,Virginia,14,14,14,10,74,136,2026-01-01,yesterday
region,202601,Waikato Region,4,4,6,4,60,268,2026-01-01,yesterday
region,202601,Washington,3,3,3,2,11,49,2026-01-01,yesterday
region,202601,Wellington Region,19,16,22,14,93,525,2026-01-01,yesterday
region,202601,Zhejiang,3,3,3,0,9,0,2026-01-01,yesterday
region,202602,(not set),183,180,189,28,818,4273,2026-01-01,yesterday
region,202602,Andhra Pradesh,1,1,1,1,6,5,2026-01-01,yesterday
region,202602,Auckland,177,155,274,171,1849,12049,2026-01-01,yesterday
region,202602,Australian Capital Territory,2,2,2,0,6,0,2026-01-01,yesterday
region,202602,Bavaria,1,1,1,0,4,1,2026-01-01,yesterday
region,202602,Bay of Plenty Region,3,3,3,2,18,132,2026-01-01,yesterday
region,202602,Berlin,2,2,2,1,8,18,2026-01-01,yesterday
region,202602,California,3,3,3,0,9,0,2026-01-01,yesterday
region,202602,Canterbury Region,28,21,32,22,170,1718,2026-01-01,yesterday
region,202602,Central Java,1,1,1,0,3,0,2026-01-01,yesterday
region,202602,Chiang Mai,1,1,1,1,6,14,2026-01-01,yesterday
region,202602,Colorado,9,9,9,2,29,18,2026-01-01,yesterday
