demographic_dimension,year_month,demographic_value,activeUsers,newUsers,sessions,engagedSessions,eventCount,userEngagementDuration,date_range_start,date_range_end
userAgeBracket,202601,55-64,10,10,15,11,111,1284,2026-01-01,yesterday
userAgeBracket,202601,65+,14,13,18,12,104,868,2026-01-01,yesterday
userAgeBracket,202601,unknown,509,495,571,191,2507,19865,2026-01-01,yesterday
userAgeBracket,202602,25-34,16,16,23,13,107,680,2026-01-01,yesterday
userAgeBracket,202602,45-54,17,13,22,12,147,1633,2026-01-01,yesterday
userAgeBracket,202602,65+,22,18,39,33,286,1671,2026-01-01,yesterday
userAgeBracket,202602,unknown,658,647,740,221,3526,15556,2026-01-01,yesterday
userAgeBracket,202603,18-24,11,11,17,11,97,495,2026-01-01,yesterday
userAgeBracket,202603,25-34,17,17,22,10,115,794,2026-01-01,yesterday
userAgeBracket,202603,35-44,13,13,15,8,87,338,2026-01-01,yesterday
userAgeBracket,202603,45-54,17,16,19,15,122,659,2026-01-01,yesterday
userAgeBracket,202603,55-64,17,15,24,14,121,1265,2026-01-01,yesterday
userAgeBracket,202603,65+,33,27,48,32,272,1452,2026-01-01,yesterday
userAgeBracket,202603,unknown,735,726,881,234,3771,21085,2026-01-01,yesterday
userAgeBracket,202604,25-34,14,12,34,23,339,2127,2026-01-01,yesterday
userAgeBracket,202604,35-44,11,11,11,10,90,857,2026-01-01,yesterday
userAgeBracket,202604,45-54,10,8,14,7,72,647,2026-01-01,yesterday
userAgeBracket,202604,55-64,12,11,12,11,99,721,2026-01-01,yesterday
userAgeBracket,202604,65+,21,18,27,23,172,1931,2026-01-01,yesterday
userAgeBracket,202604,unknown,397,390,503,154,2174,12855,2026-01-01,yesterday
