demographic_dimension,year_month,demographic_value,activeUsers,newUsers,sessions,engagedSessions,eventCount,userEngagementDuration,date_range_start,date_range_end
language,202601,Chinese,27,26,38,13,261,1885,2026-01-01,yesterday
language,202601,English,521,507,607,219,2710,22860,2026-01-01,yesterday
language,202602,Albanian,1,1,1,0,3,0,2026-01-01,yesterday
language,202602,Chinese,62,60,65,6,253,550,2026-01-01,yesterday
language,202602,English,669,652,791,290,3963,20003,2026-01-01,yesterday
language,202602,French,3,3,3,0,9,0,2026-01-01,yesterday
language,202602,German,1,1,1,1,7,61,2026-01-01,yesterday
language,202602,Japanese,1,1,1,1,6,86,2026-01-01,yesterday
language,202603,Arabic,1,1,1,0,3,0,2026-01-01,yesterday
language,202603,Chinese,97,96,99,4,340,75,2026-01-01,yesterday
language,202603,Danish,1,1,2,1,6,100,2026-01-01,yesterday
language,202603,Dutch,1,1,1,1,4,7,2026-01-01,yesterday
language,202603,English,739,724,920,317,4221,25351,2026-01-01,yesterday
language,202603,Korean,1,1,1,1,8,555,2026-01-01,yesterday
language,202603,Russian,1,1,1,0,3,0,2026-01-01,yesterday
language,202604,Chinese,24,24,24,1,78,16,2026-01-01,yesterday
language,202604,English,439,428,581,228,2878,19123,2026-01-01,yesterday
language,202604,Vietnamese,1,1,1,0,3,0,2026-01-01,yesterday
